time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1772650979174698800,0.06869873046875,0.0380909534633159,0.031540107047744,-0.0220992656785529,-0.0010764151811599,0.0021752994507551,-0.0009859782876446
1772650979184672000,0.078672119140625,0.0385509721904993,0.018732209531404,-0.00619704627553,0.0004346626810729,0.0012503834441304,0.0024196722079068
1772650979194643700,0.088643798828125,0.0577151068657636,0.0198281515419483,0.0011240355938673,-0.0013624150305986,0.0007527726702392,0.0013499745400622
1772650979204616000,0.098615966796875,0.0257061036646366,0.013543664444983,-0.0185346867984626,0.0005622515454888,-0.0022278369870036,0.0034488118253648
1772650979214589000,0.1085888671875,0.0424789592891931,0.0079286010421812,-0.0130744577643461,4.5858323574e-06,0.0004001702181994,-0.0006063835462555
1772650979224560600,0.118560546875,0.0396510423868894,0.0002178440017625,0.0008972137012053,-0.0017776016611605,-0.0022475444711744,0.0028948741964995
1772650979234532600,0.12853271484375,0.0511842437922954,-0.0114587844623252,0.020012248537736,0.0018496001139283,3.65148298442e-05,-0.0001574688358232
1772650979244505600,0.138505615234375,0.0281494051635265,-0.0108387894004583,0.0083455386794637,0.0017795590683817,-0.0016133135650306,0.0017493544146418
1772650979254477800,0.148477783203125,0.0290226808667182,-0.0334930494801141,0.0429582124398089,0.0017911586910486,0.000961952842772,-5.48263196833e-05
1772650979264449500,0.158449462890625,0.0258136556923389,-0.0429875298658385,0.020047612112062,-0.0017804065719246,0.0007286597974598,0.0002493066131137
1772650979274422500,0.168422607421875,0.0385544793218374,-0.023300357697159,0.0193986923498101,-0.001625268952921,0.0016076476313173,0.0003680670633912
1772650979284394800,0.178394775390625,0.0199818807989358,-0.0194878684706054,0.0056384077457711,-0.0011219317093491,-0.0016259625554084,-0.0004037170147057
1772650979294366700,0.18836669921875,0.0308311915934085,-0.0052867082312703,6.00048252381e-05,0.0003155176527798,-0.0001379097811877,0.0001715089310891
1772650979304339700,0.198339599609375,0.0372843132555484,-0.0188816644720733,0.009503860135423,0.0004113912582397,0.0011870129965245,0.002653841394931
1772650979314311700,0.208311767578125,0.0364390946030616,-0.0002969371199607,-0.0032040293388534,-0.003364915959537,0.0024988022632896,0.0002492983476258
1772650979324283600,0.21828369140625,0.0318260478496551,0.002451302142255,-0.0230484013632405,0.0001246239989995,-0.0004605022259056,-0.0002095642848871
1772650979334256600,0.228256591796875,0.0474263525635004,0.0033078459063544,-0.0032598329130094,-0.0021836967207491,0.0022637443616986,0.0003753150231204
1772650979344228900,0.238228759765625,0.0366933616250753,0.024224669467844,0.0142758603102061,0.001165494788438,0.0005963393487036,-0.0014460207894444
1772650979354200600,0.24820068359375,0.0285860430151224,0.0097273940924555,-0.0070214230693876,0.0017427918501198,0.0005757808685302,-0.0004272122168913
1772650979364173600,0.258173583984375,0.0535866287589073,0.0060730728359892,-0.0201632743809837,0.0003254576586186,-0.0014207910280674,-0.0017534664366394
1772650979374145800,0.268145751953125,0.0549888967722654,0.0115692225668579,0.0001911569242365,-0.0003786273300647,0.0025384463369846,5.93729782849e-05
1772650979384117500,0.278117431640625,0.0398521179169416,0.0039591128893196,-0.0078152129287365,0.0014088861644268,-0.0004347069188952,0.0006250284495763
1772650979394090800,0.2880908203125,0.0427203668296337,0.0155870433734729,-0.0038695349097251,0.0015664594247937,-0.0017135196831077,0.0018631739076226
1772650979404062700,0.298062744140625,0.0141787474781274,0.0136750722723081,-0.0085766805542167,-0.0020533092319965,0.0001256591640412,-0.0016886838711798
1772650979414034700,0.30803466796875,0.0132908587276935,0.0099299309272319,-0.0075345876227598,-0.0009949319064617,-0.0008430387824773,0.0013087610714137
1772650979424007700,0.318007568359375,0.0411480029463768,-0.002657857565023,0.0080602006657514,-0.0009358096867799,-0.0003444948233664,0.0012288661673665
1772650979433979600,0.327979736328125,0.045644145321846,-0.007856083795242,-0.0064937185340095,0.0007143034599721,-0.0005896326620131,0.0007184239802882
1772650979443951600,0.33795166015625,0.0354869084447622,0.0113749055711552,0.0105845406447537,0.0003446568734943,0.0007302300073206,0.0002989760832861
1772650979453924600,0.347924560546875,0.0362450333356857,-0.0173135749051347,0.0022648031268268,-0.0002955058589577,0.0001400508917868,0.0034601604565978
1772650979463896800,0.357896728515625,0.0290653509646654,-0.0020010376241058,0.0122967879227362,0.0016283616423606,0.0001858570612967,-1.44658843055e-05
1772650979473868500,0.36786865234375,0.0346188934385776,-0.0120686234563589,0.0070078968675341,0.0005926820449531,-0.0018398750107735,0.0002519448753446
1772650979483841500,0.377841552734375,0.0409235465407371,-0.0015163228470832,-0.0123805846155155,-0.0005082688294351,-0.001305644866079,0.0008407697314396
1772650979493813800,0.387813720703125,0.0452700513124465,0.0006286167597398,-0.0052181547733955,-0.0006246492266654,-0.0005828628782182,0.0006002862937748
1772650979503785700,0.39778564453125,0.0525906034588813,0.0015424436690285,0.0033101565944496,0.0014957599341869,0.0013577826321125,-0.00104741146788
1772650979513758700,0.4077587890625,0.0407616339772939,-0.0104146457042545,-0.0050269704496953,-7.87009485065e-05,-0.0005213438998907,0.0002655269345268
1772650979523730700,0.417730712890625,0.0313379720717668,-0.0086374068986624,-0.0017444325145334,0.0005615227855741,0.0003364603035151,0.0006950948154553
1772650979533702700,0.42770263671875,0.0193459209829568,-0.0057523164490237,-0.0013271569505333,0.0002071838825941,-0.000207386445254,-0.0006786932935938
1772650979543675600,0.437675537109375,0.0343050051838159,-0.025846279320307,-0.0044624410352669,-1.17276795208e-05,0.0004075374454259,-0.0010715095559135
1772650979553647900,0.44764794921875,0.0399736984699964,-0.0089562635894864,0.0029575437644962,0.0001618913374841,-0.0010083375964313,0.0010749112116172
1772650979563619600,0.45761962890625,0.0398287370413541,-0.0051644700910896,-0.0085929741018917,-0.000643981155008,-0.0009236489422619,-0.0023757466115057
