time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1772650342981559800,0.064559814453125,-0.9142319829583168,-0.4181412409186363,1.1911086039260028,-0.1468337774276733,-0.2507442235946655,-0.0404779948294162
1772650342991532800,0.07453271484375,-0.8006523655295371,-0.4479825446918606,0.9886936419636012,-0.1199474185705185,-0.2165870815515518,0.0003551513655111
1772650343001505000,0.084505126953125,-0.6659177318692207,-0.5266092144221067,0.96178342320621,-0.1043929606676101,-0.1945595443248748,0.0231273081153631
1772650343011477800,0.094477783203125,-0.5100128844082356,-0.6700073392704129,1.0987161514326929,-0.0866508707404136,-0.2130034416913986,0.0316230431199073
1772650343021450800,0.10445068359375,-0.2277829197138547,-0.7391124396786093,1.241943742019683,-0.0597862303256988,-0.2630681991577148,0.0094247981905937
1772650343031423000,0.114423095703125,0.036011224579811,-0.7817512657046317,1.3439346284635365,-0.0277399942278862,-0.2870852351188659,-0.0291777085512876
1772650343041396000,0.12439599609375,0.072136430928111,-0.8163982161939144,1.296241733918339,-0.0004548439756035,-0.2611266076564789,-0.0769263207912445
1772650343051367700,0.13436767578125,-0.0342564898669719,-0.8632119898170232,1.1985169804863631,0.0175707302987575,-0.1821752786636352,-0.1154619231820106
1772650343061341000,0.1443408203125,-0.1696849510103464,-0.8226943937286734,1.1539511319205165,0.0469422005116939,-0.0750743746757507,-0.1279252469539642
1772650343071314000,0.15431396484375,-0.2327221296817064,-0.7766653407424687,1.114222786513716,0.0947066321969032,-0.002828441793099,-0.1213497593998909
1772650343081285600,0.16428564453125,-0.2091927855342626,-0.7331684365823864,1.1009819044075906,0.1494095623493194,-0.0023501380346715,-0.0824223384261131
1772650343091259000,0.1742587890625,-0.2260141564756631,-0.737723615668714,1.0940559045366942,0.1910549104213714,-0.0411845855414867,-0.009401798248291
1772650343101230800,0.18423095703125,-0.3117266928136348,-0.7790922756284475,1.0315922879695891,0.2092038094997406,-0.0953839123249054,0.0944178029894828
1772650343111203800,0.194203857421875,-0.3182628165841102,-0.7765063507884741,0.9096186439439654,0.1969204246997833,-0.1750527173280716,0.1992250680923462
1772650343121175800,0.20417578125,-0.2988718874156474,-0.7897773357719182,0.750582804980874,0.1518051475286483,-0.2497264146804809,0.2829375267028808
1772650343131148800,0.214148681640625,-0.2440507484257221,-0.8117688028275967,0.6720265701383352,0.0990912616252899,-0.2866826057434082,0.3339211344718933
1772650343141121800,0.224121826171875,-0.1075648871839046,-0.7355141229256987,0.6711489105209708,0.060083944350481,-0.3012234568595886,0.3396245837211609
1772650343151093800,0.23409375,0.1020855789899825,-0.6502540065303445,0.6494206244461238,0.0297428164631128,-0.2968651950359344,0.2861360609531402
1772650343161066800,0.244066650390625,0.1669856289237737,-0.5954334520623088,0.5826346146352589,0.003466737922281,-0.281509667634964,0.1995225846767425
1772650343171039000,0.2540390625,0.0389618910789489,-0.4597878410369158,0.499576392198354,-0.0209875181317329,-0.2758856117725372,0.1194670796394348
1772650343181012000,0.264011962890625,-0.2447252866864204,-0.2908227287337184,0.4380841048814356,-0.0367901846766471,-0.2697611451148987,0.0716574788093566
1772650343190984700,0.273984619140625,-0.6169008952438831,-0.1020209893211722,0.3963806600093841,-0.0459021031856536,-0.2571406066417694,0.0494753308594226
1772650343200957000,0.28395703125,-0.9169237062603236,0.0844563987970352,0.3760714469522238,-0.0486944280564785,-0.2584998905658722,0.057642713189125
1772650343210930000,0.293929931640625,-1.1520371149927378,0.2731549700960516,0.3296380509488284,-0.0413498058915138,-0.2653989791870117,0.09702879935503
1772650343220901600,0.303901611328125,-1.3579992480427026,0.434063324932754,0.2883554618373513,-0.0215859524905681,-0.268627256155014,0.1714561581611633
1772650343230875000,0.313875,-1.444665139582753,0.5161997563496231,0.1861805971287191,0.0053847869858145,-0.2603372037410736,0.267808735370636
1772650343240846800,0.323846923828125,-1.3413590788871048,0.5526707073956728,0.0906599296122789,0.0239068064838647,-0.2409488558769226,0.3474505543708801
1772650343250819600,0.333819580078125,-1.109219717529416,0.5543018157288432,-0.0473586941547691,0.0336227007210254,-0.214624598622322,0.4106665253639221
1772650343260792800,0.343792724609375,-0.8196955041736363,0.5129819633468985,-0.1888558076873421,0.0460239760577678,-0.1945579499006271,0.4467757940292358
1772650343270764800,0.353764892578125,-0.3834370072841644,0.427050815822184,-0.2316340421840548,0.0500331446528434,-0.19452466070652,0.4398388564586639
1772650343280737800,0.36373779296875,0.1552595352947711,0.3189274179726838,-0.2711361776195466,0.0444700643420219,-0.2344425171613693,0.3719705939292907
1772650343290709800,0.373709716796875,0.5932791966378689,0.1628045438468456,-0.3320980113215744,0.0236030109226703,-0.2940003275871277,0.2572526931762695
1772650343300682800,0.383682861328125,0.8850380371779203,0.0157493577957153,-0.3888536255054176,-0.012055916711688,-0.3577492237091064,0.1049675792455673
1772650343310655700,0.39365576171875,0.990605613064766,-0.0681295333743095,-0.3835528887487948,-0.0526174902915954,-0.4325246214866638,-0.0337556153535842
1772650343320627700,0.403627685546875,0.8817845883399248,-0.0379047832414507,-0.4127357286132871,-0.0838893875479698,-0.5317031145095825,-0.1359504163265228
1772650343330600700,0.4136005859375,0.5772048446714878,-0.0230059047952294,-0.4302830757416784,-0.0954358279705047,-0.6206003427505493,-0.1738357841968536
1772650343340573000,0.423572998046875,0.2569061383455991,0.0036734278157353,-0.4213175328671932,-0.0830614566802978,-0.7154117822647095,-0.1642502695322036
1772650343350546000,0.4335458984375,-0.0082844287425279,0.0925379984438419,-0.4275669486507773,-0.0505159944295883,-0.8370975852012634,-0.1006505414843559
1772650343360517600,0.443517578125,-0.1739537143707275,0.1422004394963383,-0.4205212679229676,0.0080240154638886,-0.9602906107902528,0.0027810395695269
1772650343370491000,0.453490966796875,-0.2543751585632562,0.1531248613536358,-0.4960960027366876,0.0629628896713256,-1.0387592315673828,0.1322849243879318
1772650343380463900,0.4634638671875,-0.2864461210846901,0.1180693300634622,-0.7695658109355717,0.0905905216932296,-1.0324792861938477,0.2434684336185455
1772650343390435600,0.473435546875,-0.3023065380394458,-0.0164963767707347,-1.1411270869869738,0.0525398552417755,-0.9715260863304138,0.3095942139625549
1772650343400408800,0.483408935546875,-0.3558960894078016,-0.2616553786993026,-1.3801245706111192,-0.0307569000869989,-0.9370783567428588,0.3468824625015259
