time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1772902363590447900,0.10944775390625,0.0048112869262695,-0.0107936859130859,-0.0407957583665847,-0.0224492810666561,0.0016798780998215,0.0148134706541895
1772902363609435000,0.128434814453125,0.0153863430023193,-0.0284061431884765,-0.1957698762416839,-0.0083993906155228,-0.0025961752980947,0.0117591470479965
1772902363628422000,0.147421875,0.0549204349517822,-0.0538463592529296,-0.0313673317432403,-0.0090102553367614,-0.0172569304704666,0.0074830935336649
1772902363647409000,0.166408935546875,0.0392608642578125,-0.0281553268432617,-0.10608771443367,-0.006566796451807,-0.0117591470479965,0.0172569304704666
1772902363666396000,0.18539599609375,0.0115828514099121,0.0504016876220703,-0.0301263928413391,-0.0022907429374754,-0.0001527161948615,0.0203112531453371
1772902363685383000,0.2043828125,-0.0460436344146728,0.0424880981445312,-0.0003159344196319,-0.0083993906155228,0.0053450670093297,0.0148134706541895
1772902363704369700,0.22336962890625,-0.0020763874053955,0.0542316436767578,-0.0356939733028411,-0.006566796451807,-0.0007635809597559,0.009315688163042
1772902363723356700,0.242356689453125,0.021463394165039,0.0378379821777343,-0.0505905449390411,0.0019853105768561,-0.0032070400193333,0.009315688163042
1772902363742344000,0.261343994140625,0.0253093242645263,0.0151996612548828,0.0077834427356719,0.0019853105768561,0.0016798780998215,0.0154243353754282
1772902363761331000,0.2803310546875,-0.0040700435638427,-0.0191450119018554,0.0673882365226745,-0.0059559317305684,-0.0001527161948615,0.0135917412117123
1772902363780317700,0.299317626953125,-0.0339787006378173,-0.049234390258789,0.0255210101604461,-0.0083993906155228,0.0022907429374754,0.0044287694618105
1772902363799304700,0.3183046875,0.0004050731658935,-0.047499656677246,-0.0374965667724609,-0.0083993906155228,-0.0001527161948615,-0.0041233371011912
1772902363818292000,0.3372919921875,0.0615522861480712,-0.034799575805664,-0.0705258548259735,-0.0047342018224298,0.0022907429374754,-0.0010690133785828
1772902363837279000,0.356279052734375,0.0711915493011474,0.0045099258422851,-0.0907387733459472,0.0001527161948615,0.0010690133785828,0.0056504993699491
1772902363856265700,0.375265625,0.0182788372039794,0.005812644958496,-0.0536631941795349,0.0044287694618105,0.0077885258942842,0.0087048234418034
1772902363875252700,0.394252685546875,-0.0244519710540771,0.0347614288330078,-0.0258505046367645,0.0038179049734026,0.0126754445955157,0.0087048234418034
1772902363894240000,0.413239990234375,-0.021747350692749,0.0097770690917968,0.0314542949199676,-0.0004581485991366,0.0145080387592315,0.0025961752980947
1772902363913226800,0.432226806640625,0.0098562240600585,0.006657600402832,-0.0196570754051208,-0.0035124723799526,0.0126754445955157,0.0025961752980947
