time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1772650378002691300,0.07169140625,-0.764512546133995,0.0736968121126294,-1.103760575340688,0.0881507098674774,-0.1242567002773284,0.0489666759967803
1772650378012663000,0.0816630859375,-0.4740846619367599,-0.0179845695018768,-1.1499153005331757,0.0378666929900646,-0.1675956696271896,0.0750622227787971
1772650378022636300,0.09163623046875,-0.2436503509312867,0.0519034979775547,-0.9763333420842886,0.0168516878038644,-0.2123506218194961,0.1089285761117935
1772650378032608300,0.101608154296875,-0.1869657561570405,0.2154857481986284,-0.7089696687407792,0.034262977540493,-0.240327849984169,0.1536866426467895
1772650378042581200,0.111581298828125,-0.1996539728164672,0.400950159882009,-0.3869643046274781,0.0783079341053962,-0.245275467634201,0.1720717847347259
1772650378052554200,0.12155419921875,-0.1068640454381704,0.4585036464452743,-0.2299304531365633,0.1132155060768127,-0.2399600893259048,0.1526318192481994
1772650378062526200,0.131526123046875,0.0391997914880514,0.3786328218728303,-0.2630344119675457,0.1367264240980148,-0.2108866274356842,0.0980082526803016
1772650378072499200,0.141499267578125,0.1301911450117826,0.2808247740715742,-0.3992820805393159,0.1502081751823425,-0.1508176177740097,0.0474044829607009
1772650378082471200,0.15147119140625,0.1894517277538776,0.201138950677216,-0.4997521871566772,0.1612619012594223,-0.1017643213272094,0.0002843755646608
1772650378092444200,0.161444091796875,0.2062561475604772,0.1543412514060735,-0.6156089557372033,0.1548313498497009,-0.0667967721819877,-0.0280686672776937
1772650378102416400,0.17141650390625,0.1479383986264467,0.0975739467844366,-0.7443314895011485,0.1390262991189956,-0.0453737713396549,-0.033188596367836
1772650378112389400,0.181389404296875,0.0424953259021043,0.0095940500363707,-0.7834449178799986,0.1142661273479461,-0.0540576614439487,-0.0135917412117123
1772650378122362000,0.191362060546875,0.0184703071922063,-0.0472501192137599,-0.8123686684168875,0.0780407488346099,-0.0942184031009674,-0.0078323893249034
1772650378132334300,0.201334228515625,0.1633966645210981,-0.1228551030352711,-0.7549389543637632,0.0437597334384918,-0.1623363941907882,-0.0094526978209614
1772650378142307300,0.211307373046875,0.3356616951525211,-0.1930801473841071,-0.6840139450520276,0.0137869231402874,-0.2088008373975753,-0.018770033493638
1772650378152279000,0.221279052734375,0.4021563208013772,-0.2115902020648121,-0.6248867794312536,-0.004272922873497,-0.2440051436424255,-0.0237202867865562
